title,address,longitude,latitude,phone,time,disabled,location
Wanchai Johnston Road Consumer Branch,150 Johnston Road,114.174233,22.276555,+852 3718 7300,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Hong Kong Island
Causeway Bay Plaza Consumer Branch,"G/F, Causeway Bay Plaza 1",114.18281,22.280269,+852 3718 7680,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Hong Kong Island
Causeway Bay Plaza CCB (Asia) Personal Loan Center,"25/F, Causeway Bay Plaza 1, 489 Hennessy Road",114.18281,22.280269,+852 3718 7928,Monday - Friday: 9:00a.m. - 7:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,false,Hong Kong Island
Causeway Bay Jardine's Bazaar Consumer Branch,51 Jardine's Bazaar,114.185488,22.279268,+852 3718 3520,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Hong Kong Island
Happy Valley Consumer Branch,37 Sing Woo Road,114.185714,22.269323,+852 3918 6600,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,false,Hong Kong Island
North Point Consumer Branch,382 King's Road,114.19813,22.290552,+852 3718 3500,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Hong Kong Island
Taikoo Shing Consumer Branch,"Shop 001, G/F, Cityplaza II",114.217408,22.286766,+852 3718 7380,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,false,Hong Kong Island
Shau Kei Wan Consumer Branch,2 Po Man Street,114.228628,22.27845,+852 3718 7000,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Hong Kong Island
Aberdeen Consumer Branch,"Shop 7, G/F, Site 4, Aberdeen Centre",114.154435,22.248157,+852 3918 6836,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Hong Kong Island
Tsimshatsui Commercial Banking Office,"Suites 2508-11 & Suites 3312-14, Tower 6, The Gateway, 9 Canton Road",114.168264,22.297038,+852 2903 8366,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: Closed|Sunday and Public Holiday: Closed,false,Kowloon
Tsimshatsui CCB (Asia) Personal Loan Center,"Unit 1603, 16/F., Carnarvon Plaza, No.20 Carnarvon Road",114.173241,22.299212,+852 3918 6388,Monday - Friday: 9:00a.m. - 7:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,false,Kowloon
Tsimshatsui Hankow Road Consumer Branch,17 Hankow Road,114.171033,22.296613,+852 3718 3680,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Kowloon
Tsimshatsui Humphreys Avenue Consumer Branch,3 Humphreys Avenue,114.172854,22.298359,+852 3718 7166,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Kowloon
Jordan Consumer Branch,316 Nathan Road,114.171705,22.306042,+852 3718 3999,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Kowloon
Yaumati Consumer Branch,556 Nathan Road,114.176004,22.314332,+852 3718 7200,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,false,Kowloon
Mongkok Small Enterprise and Personal Loan Center,"Room 1017-18, 10/F, Gala Place, 56 Dundas Street, Mongkok",114.171162,22.315133,+852 3718 7568,Monday - Friday: 9:00a.m. - 7:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,false,Kowloon
Mongkok Chun Yee Building Branch,"G/F, Chun Yee Building, No. 733 Nathan Road, Mongkok",114.168648,22.321803,+852 3918 6620,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Kowloon
Mongkok Nathan Road Consumer Branch,788 Nathan Road,114.168164,22.325995,+852 3718 7128,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Kowloon
Tai Kok Tsui Olympian City Consumer Branch,"Shop 109, 1/F, Olympian City 2",114.161931,22.316974,+852 3718 3920,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Kowloon
Cheung Sha Wan Consumer Branch,"Unit G02, G/F Cheung Sha Wan Plaza 833 Cheung Sha Wan Road",114.148347,22.337025,+852 3718 3600,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Kowloon
Mei Foo Consumer Branch,"Shop N46, G/F Mei Foo Sun Chuen, Stage 6",114.1398,22.337906,+852 3918 6630,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Kowloon
Hunghom Consumer Branch,"Shop A3, G/F, Yuen Wah Building, Whampoa Estates",114.187989,22.306212,+852 3718 3180,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Kowloon
Hunghom Ma Tau Wai Road Consumer Branch,"G/F, 100 Ma Tau Wai Road",114.187466,22.310084,+852 3718 3580,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,false,Kowloon
Kwun Tong Hoi Yuen Road Consumer Branch,56 Hoi Yuen Road,114.224202,22.309932,+852 3718 7082,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Kowloon
Kwun Tong Hip Wo Street Consumer Branch (ATM Service only),191 Hip Wo Street,114.2265,22.317119,N/A,N/A,true,Kowloon
Kowloon Bay Amoy Gardens Consumer Branch (ATM Service is currently suspended),"Shop 181, G/F, Phase IIA, Amoy Gardens",114.216089,22.324182,+852 3718 7366,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Kowloon
Kowloon Bay CCB Centre Consumer Branch,"G/F, CCB Centre",114.208433,22.324396,+852 3718 7900,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Kowloon
Kowloon Bay CCB Centre Commercial Banking Office,"26/F, CCB Centre",114.208433,22.324396,+852 2903 8366,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: Closed|Sunday and Public Holiday: Closed,false,Kowloon
Kowloon Bay CCB Centre Small Enterprise and Personal Loan Center,"G/F, CCB Centre, 18 Wang Chiu Road, Kowloon Bay",114.208433,22.324396,+852 3718 7373,Monday - Friday: 9:00a.m. - 7:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,false,Kowloon
Tsuen Wan Consumer Branch,282 Sha Tsui Road,114.116505,22.369675,+852 3718 7199,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,New Territories
Tsuen Wan CCB (Asia) Personal Loan Center,"Room 945, 9/F, Nan Fung Centre",114.116354,22.373807,+852 3718 3940,Monday - Friday: 9:00a.m. - 7:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,false,New Territories
Kwai Chung Consumer Branch,"Shop A23, G/F, Kwai Chung Plaza",114.127586,22.358063,+852 3918 6575,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,New Territories
Kwai Fong Commercial Banking Office,"Unit 3106, 31/F, Tower 1, Metroplaza",114.126703,22.357911,+852 3918 6368,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: Closed|Sunday and Public Holiday: Closed,false,New Territories
Tai Wai Consumer Branch (Counter services are not available),42 Tai Wai Road,114.177971,22.375109,+852 3918 6599,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,false,New Territories
Shatin Plaza Consumer Branch,"Shop 5, Level 1, Shatin Plaza",114.189283,22.382956,+852 3718 3160,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,New Territories
Ma On Shan Consumer Branch,"Shop 297, Level 2, Ma On Shan Plaza",114.231851,22.425345,+852 3718 3560,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,New Territories
Tai Po Consumer Branch,"Shop 9B, G/F, 1 On Chee Road",114.16643,22.453243,+852 3718 7022,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,New Territories
Sheung Shui Consumer Branch,67 San Fung Avenue,114.126954,22.504636,+852 3718 3620,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,New Territories
Sheung Shui Cross Border Wealth Management Center (by appointment only),"Units 1103A-06, 11/F, Landmark North, Sheung Shui",114.127806,22.503064,+852 3718 3620,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: Closed|Sunday and Public Holiday: Closed,false,New Territories
Yuen Long Consumer Branch,68 Castle Peak Road,114.0301,22.444294,+852 3718 3543,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,New Territories
Tin Shui Wai Consumer Branch,"Shop 1110, 1/F, One Sky Mall",114.00325,22.464684,+852 3918 6618,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,false,New Territories
Tuen Mun Consumer Branch,"Shop 9, G/F, Tuen Mun Town Plaza 2",113.976182,22.393954,+852 3718 3118,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,New Territories
Tuen Mun Yan Ching Street Consumer Branch,"Shop 6, G/F, 7 Yan Ching Street",113.975328,22.39591,+852 3918 6565,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,New Territories
Tseung Kwan O Consumer Branch,"Shop 190, Level 1, Metro City 3",114.256853,22.322423,+852 3718 3120,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,New Territories
