branch,address,phone,region,24_hours,monday_to_friday,saturday,sunday_and_public_holiday
Tokwawan Branch ,"62 Tokwawan Road, Kowloon",3982 9987,Kowloon,Y,N/A,N/A,N/A
Kwun Tong Branch ,"G/F Shop 1, 1/F Shop 2, 410 Kwun Tong Road, Kowloon",3982 9988,Kowloon,Y,N/A,N/A,N/A
Tsimshatsui Branch ,"Shops B & C, G/F Han Chung Mansion, 8-10 Hankow Road, Tsimshatsui, Kowloon ",3982 9990,Kowloon,Y,N/A,N/A,N/A
Hunghom Branch ,"69A Wuhu Street, Hunghom, Kowloon",3982 9998,Kowloon,Y,N/A,N/A,N/A
Shamshuipo Branch ,"198-200 Tai Po Road, Shamshuipo, Kowloon",3982 9900,Kowloon,Y,N/A,N/A,N/A
Nanyang Plaza Branch,"G/F, Nanyang Plaza, 57 Hung To Road, Kwun Tong, Kowloon",3982 9902,Kowloon,Y,N/A,N/A,N/A
Peninsula Centre Branch ,"Shop G48 Peninsula Centre, 67 Mody Road, Tsimshatsui, Kowloon",3982 9904,Kowloon,Y,N/A,N/A,N/A
San Po Kong Branch ,"41-45, Yin Hing Street, San Po Kong, Kowloon",3982 9907,Kowloon,Y,N/A,N/A,N/A
Kowloon City Branch ,"86 Nga Tsin Wai Road, Kowloon City, Kowloon",3982 9911,Kowloon,Y,N/A,N/A,N/A
Cheung Sha Wan Branch ,"G/F, 792-794 Cheung Sha Wan Road, Kowloon",3982 9912,Kowloon,Y,N/A,N/A,N/A
Kowloon Bay Branch ,"Shop 2, G/F, Shun Fat Industrial Building, 17 Wang Hoi Road, Kowloon Bay, Kowloon",3982 9917,Kowloon,Y,N/A,N/A,N/A
Kwai Chung Branch ,"100 Lei Muk Road, Kwai Chung, New Territories",3982 9986,New Territories,Y,N/A,N/A,N/A
Tai Po Branch ,"Shop A, G/F, 18 Kwong Fuk Road, Tai Po, New Territories",3982 9989,New Territories,Y,N/A,N/A,N/A
Yuen Long Branch ,"G/F, Tung Yik Building, Tai Tong Road, Yuen Long, New Territories (8 Yu King Square)",3982 9991,New Territories,Y,N/A,N/A,N/A
Ha Kwai Chung Branch ,"180 Hing Fong Road, Kwai Chung, New Territories",3982 9992,New Territories,Y,N/A,N/A,N/A
Tsuen Wan Branch ,"78 Chung On Street, Tsuen Wan, New Territories",3982 9994,New Territories,Y,N/A,N/A,N/A
Sheung Shui Branch ,"31 Fu Hing Street, Sheung Shui, New Territories",3982 9995,New Territories,Y,N/A,N/A,N/A
Tuen Mun Branch ,"Shop J-L, G/F, Forward Mansion, 26A Yan Ching Circuit, Tuen Mun, New Territories",3982 9905,New Territories,Y,N/A,N/A,N/A
Shatin Branch ,"Shop 7-8, Level 1, Lucky Plaza, 1-15 Wang Pok Street, Shatin, New Territories",3982 9906,New Territories,Y,N/A,N/A,N/A
Tsuen Wan Market Street Branch ,"Shops A&B, G/F, 21-25 Tsuen Wan Market Street, Tsuen Wan, New Territories",3982 9910,New Territories,Y,N/A,N/A,N/A
Sai Kung Branch ,"Shop 11-12 Sai Kung Garden, 1-5 Man Nin Street, Sai Kung Town, New Territories",3982 9913,New Territories,Y,N/A,N/A,N/A
Kwai Shing Branch ,"Shop No. 132, Level 1, Kwai Shing East Shopping Centre, Kwai Shing East Estate, 63 Kwai Shing Circuit, Kwai Chung, New Territories",3982 9918,New Territories,Y,N/A,N/A,N/A
Central District Branch ,"2/F Century Square, 1-13 D'Aguilar Street, Central, Hong Kong",3982 9909,New Territories,N,09:00 - 17:00,09:00 - 13:00,Closed
