title,pointLeft,pointRight,phone,time,disabled,location
Mongkok Chun Yee Building Branch,114.168648,22.321803,+852 3918 6620,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Kowloon
Mongkok Nathan Road Consumer Branch,114.168164,22.325995,+852 3718 7128,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Kowloon
Tai Kok Tsui Olympian City Consumer Branch,114.161931,22.316974,+852 3718 3920,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Kowloon
Cheung Sha Wan Consumer Branch,114.148347,22.337025,+852 3718 3600,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Kowloon
Mei Foo Consumer Branch,114.1398,22.337906,+852 3918 6630,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Kowloon
Hunghom Consumer Branch,114.187989,22.306212,+852 3718 3180,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Kowloon
Hunghom Ma Tau Wai Road Consumer Branch,114.187466,22.310084,+852 3718 3580,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,false,Kowloon
Kwun Tong Hoi Yuen Road Consumer Branch,114.224202,22.309932,+852 3718 7082,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Kowloon
Kwun Tong Hip Wo Street Consumer Branch (ATM Service only),114.2265,22.317119,N/A,N/A,true,Kowloon
Kowloon Bay Amoy Gardens Consumer Branch (ATM Service is currently suspended),114.216089,22.324182,+852 3718 7366,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Kowloon
Kowloon Bay CCB Centre Consumer Branch,114.208433,22.324396,+852 3718 7900,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,Kowloon
Kowloon Bay CCB Centre Commercial Banking Office,114.208433,22.324396,+852 2903 8366,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: Closed|Sunday and Public Holiday: Closed,false,Kowloon
Kowloon Bay CCB Centre Small Enterprise and Personal Loan Center,114.208433,22.324396,+852 3718 7373,Monday - Friday: 9:00a.m. - 7:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,false,Kowloon
Tsuen Wan Consumer Branch,114.116505,22.369675,+852 3718 7199,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,New Territories
Tsuen Wan CCB (Asia) Personal Loan Center,114.116354,22.373807,+852 3718 3940,Monday - Friday: 9:00a.m. - 7:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,false,New Territories
Kwai Chung Consumer Branch,114.127586,22.358063,+852 3918 6575,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,New Territories
Kwai Fong Commercial Banking Office,114.126703,22.357911,+852 3918 6368,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: Closed|Sunday and Public Holiday: Closed,false,New Territories
Tai Wai Consumer Branch (Counter services are not available),114.177971,22.375109,+852 3918 6599,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,false,New Territories
Shatin Plaza Consumer Branch,114.189283,22.382956,+852 3718 3160,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,New Territories
Ma On Shan Consumer Branch,114.231851,22.425345,+852 3718 3560,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,New Territories
Tai Po Consumer Branch,114.16643,22.453243,+852 3718 7022,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,New Territories
Sheung Shui Consumer Branch,114.126954,22.504636,+852 3718 3620,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,New Territories
Sheung Shui Cross Border Wealth Management Center (by appointment only),114.127806,22.503064,+852 3718 3620,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: Closed|Sunday and Public Holiday: Closed,false,New Territories
Yuen Long Consumer Branch,114.0301,22.444294,+852 3718 3543,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,New Territories
Tin Shui Wai Consumer Branch,114.00325,22.464684,+852 3918 6618,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,false,New Territories
Tuen Mun Consumer Branch,113.976182,22.393954,+852 3718 3118,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,New Territories
Tuen Mun Yan Ching Street Consumer Branch,113.975328,22.39591,+852 3918 6565,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,New Territories
Tseung Kwan O Consumer Branch,114.256853,22.322423,+852 3718 3120,Monday - Friday: 9:00a.m. - 5:00p.m.|Saturday: 9:00a.m. - 1:00p.m.|Sunday and Public Holiday: Closed,true,New Territories
